"","producto","precio","tienda","tipo"
"1","CUADERNO  UNIVERSITARIO  LICENCIA   RACHEL HALE   100  HOJAS  7  MM  PROARTE",1590,"DIMEIGGS","CUADERNO"
"2","CUADERNO  UNIVERSITARIO  IDEAS    100  HOJAS  7  MM  PROARTE",1430,"DIMEIGGS","CUADERNO"
"3","CUADERNO  UNIVERSITARIO  TRENDS NIÑA     100  HOJAS  7  MM  PROARTE",1250,"DIMEIGGS","CUADERNO"
"4","CUADERNO  UNIVERSITARIO  LICENCIA   AVENGERS  100  HOJAS  7  MM  PROARTE",1130,"DIMEIGGS","CUADERNO"
"5","CUADERNO  UNIVERSITARIO  VINTAGE    100  HOJAS  7  MM  PROARTE",1250,"DIMEIGGS","CUADERNO"
"6","CUADERNO TOY STORY 4 UNIVERSITARIO 7MM 100 HOJAS",1130,"DIMEIGGS","CUADERNO"
"7","CUADERNO  UNIVERSITARIO  LICENCIA   COMICS  100  HOJAS  7  MM  PROARTE",1690,"DIMEIGGS","CUADERNO"
"8","CUADERNO  UNIVERSITARIO  LICENCIA   WOODSTOCK WOMAN  100  HOJAS  7  MM  PROARTE",1520,"DIMEIGGS","CUADERNO"
"9","CUADERNO  DE LOL 100 HOJAS, TAPA EXTRA DURA  7MM",1690,"DIMEIGGS","CUADERNO"
"10","CUADERNO  UNIVERSITARIO  LICENCIA   RACHEL HALE   100  HOJAS  7  MM  PROARTE",1520,"DIMEIGGS","CUADERNO"
"11","CUADERNO  UNIVERSITARIO  IDEAS    100  HOJAS  7  MM  PROARTE",1690,"DIMEIGGS","CUADERNO"
"12","CUADERNO  UNIVERSITARIO  TRENDS NIÑA     100  HOJAS  7  MM  PROARTE",1520,"DIMEIGGS","CUADERNO"
"13","CUADERNO  UNIVERSITARIO  LICENCIA   AVENGERS  100  HOJAS  7  MM  PROARTE",1690,"DIMEIGGS","CUADERNO"
"14","CUADERNO  UNIVERSITARIO  VINTAGE    100  HOJAS  7  MM  PROARTE",1520,"DIMEIGGS","CUADERNO"
"15","CUADERNO TOY STORY 4 UNIVERSITARIO 7MM 100 HOJAS",1690,"DIMEIGGS","CUADERNO"
"16","CUADERNO  UNIVERSITARIO  LICENCIA   COMICS  100  HOJAS  7  MM  PROARTE",1520,"DIMEIGGS","CUADERNO"
"17","CUADERNO  UNIVERSITARIO  LICENCIA   WOODSTOCK WOMAN  100  HOJAS  7  MM  PROARTE",1690,"DIMEIGGS","CUADERNO"
"18","CUADERNO  DE LOL 100 HOJAS, TAPA EXTRA DURA  7MM",1520,"DIMEIGGS","CUADERNO"
"19","Cuaderno Universitario 7mm. Nature Proarte",1390,"NACIONAL","CUADERNO"
"20","Cuaderno Universitario Liso 5mm. Proarte",1690,"NACIONAL","CUADERNO"
"21","Cuaderno Universitario Tapa Dura Croquis 100 Hojas Proarte",1690,"NACIONAL","CUADERNO"
"22","Cuaderno Universitario Ted/Ed Avengers 100 Hojas Diseño Aleatorio Proarte",1790,"NACIONAL","CUADERNO"
"23","Cuaderno Universitario Ted/Ed Game Of Throne Diseño Aleatorio Proarte",1790,"NACIONAL","CUADERNO"
"24","Cuaderno Universitario Ted/Ed Riders 100 Hojas Diseño Aleatorio Proarte",1690,"NACIONAL","CUADERNO"
"25","Cuaderno Universitario Ted/Ed Woodstock Wom Diseño Aleatorio Proarte",1690,"NACIONAL","CUADERNO"
"26","Cuaderno Universitario Toy Story 100 Hojas 7mm. Diseño Aleatorio  Proarte",1790,"NACIONAL","CUADERNO"
"27","Cuaderno Universitario Woodstock Classic Proarte",1790,"NACIONAL","CUADERNO"
"28","10 Forros Cuaderno College Colores Artel",NA,"NACIONAL","CUADERNO"
"29","10 Forros Cuaderno College Transparente Artel",1890,"NACIONAL","CUADERNO"
"30","10 Forros Cuaderno Universitario Colores Artel",NA,"NACIONAL","CUADERNO"
"31","10 Forros Cuaderno Universitario Transparente Artel",2090,"NACIONAL","CUADERNO"
"32","10 Forros Libro Universitario Colores Artel",NA,"NACIONAL","CUADERNO"
"33","Blíster Mate Pack Universitario Pack Paper ",3990,"NACIONAL","CUADERNO"
"34","Blíster Set Universitario Artel",1890,"NACIONAL","CUADERNO"
"35","Bolsa 10 Forro Libro Universitario Transparente Artel",1790,"NACIONAL","CUADERNO"
"36","Carpeta Con Gusano Violeta Proarte",890,"NACIONAL","CUADERNO"
